ano,mes,estado,numero,encontro
2013,Fevereiro,Distrito Federal,1 Fires,1/1/2013
2014,Fevereiro,Distrito Federal,1 Fires,1/1/2014
2015,Fevereiro,Distrito Federal,0 Fires,1/1/2015
2016,Fevereiro,Distrito Federal,2 Fires,1/1/2016
2017,Fevereiro,Distrito Federal,0 Fires,1/1/2017
1998,Março,Distrito Federal,0 Fires,1/1/1998
1999,Março,Distrito Federal,0 Fires,1/1/1999
2000,Março,Distrito Federal,0 Fires,1/1/2000
2001,Março,Distrito Federal,0 Fires,1/1/2001
2002,Março,Distrito Federal,0 Fires,1/1/2002
2003,Março,Distrito Federal,0 Fires,1/1/2003
2004,Março,Distrito Federal,0 Fires,1/1/2004
2005,Março,Distrito Federal,0 Fires,1/1/2005
2006,Março,Distrito Federal,0 Fires,1/1/2006
2007,Março,Distrito Federal,1 Fires,1/1/2007
2008,Março,Distrito Federal,2 Fires,1/1/2008
2009,Março,Distrito Federal,0 Fires,1/1/2009
2010,Março,Distrito Federal,0 Fires,1/1/2010
2011,Março,Distrito Federal,0 Fires,1/1/2011
2012,Março,Distrito Federal,0 Fires,1/1/2012
2013,Março,Distrito Federal,1 Fires,1/1/2013
2014,Março,Distrito Federal,1 Fires,1/1/2014
2015,Março,Distrito Federal,0 Fires,1/1/2015
2016,Março,Distrito Federal,1 Fires,1/1/2016
2017,Março,Distrito Federal,0 Fires,1/1/2017
1998,Abril,Distrito Federal,0 Fires,1/1/1998
1999,Abril,Distrito Federal,0 Fires,1/1/1999
2000,Abril,Distrito Federal,0 Fires,1/1/2000
2001,Abril,Distrito Federal,0 Fires,1/1/2001
2002,Abril,Distrito Federal,1 Fires,1/1/2002
2003,Abril,Distrito Federal,0 Fires,1/1/2003
2004,Abril,Distrito Federal,1 Fires,1/1/2004
2005,Abril,Distrito Federal,0 Fires,1/1/2005
2006,Abril,Distrito Federal,0 Fires,1/1/2006
2007,Abril,Distrito Federal,0 Fires,1/1/2007
2008,Abril,Distrito Federal,1 Fires,1/1/2008
2009,Abril,Distrito Federal,0 Fires,1/1/2009
2010,Abril,Distrito Federal,8 Fires,1/1/2010
2011,Abril,Distrito Federal,1 Fires,1/1/2011
2012,Abril,Distrito Federal,4 Fires,1/1/2012
2013,Abril,Distrito Federal,1 Fires,1/1/2013
2014,Abril,Distrito Federal,2 Fires,1/1/2014
2015,Abril,Distrito Federal,0 Fires,1/1/2015
2016,Abril,Distrito Federal,5 Fires,1/1/2016
2017,Abril,Distrito Federal,1 Fires,1/1/2017
1998,Maio,Distrito Federal,0 Fires,1/1/1998
1999,Maio,Distrito Federal,0 Fires,1/1/1999
2000,Maio,Distrito Federal,2 Fires,1/1/2000
2001,Maio,Distrito Federal,0 Fires,1/1/2001
2002,Maio,Distrito Federal,1 Fires,1/1/2002
2003,Maio,Distrito Federal,0 Fires,1/1/2003
2004,Maio,Distrito Federal,9 Fires,1/1/2004
2005,Maio,Distrito Federal,2 Fires,1/1/2005
2006,Maio,Distrito Federal,3 Fires,1/1/2006
2007,Maio,Distrito Federal,4 Fires,1/1/2007
2008,Maio,Distrito Federal,6 Fires,1/1/2008
2009,Maio,Distrito Federal,9 Fires,1/1/2009
2010,Maio,Distrito Federal,23 Fires,1/1/2010
2011,Maio,Distrito Federal,3 Fires,1/1/2011
2012,Maio,Distrito Federal,0 Fires,1/1/2012
2013,Maio,Distrito Federal,2 Fires,1/1/2013
2014,Maio,Distrito Federal,9 Fires,1/1/2014
2015,Maio,Distrito Federal,2 Fires,1/1/2015
2016,Maio,Distrito Federal,15 Fires,1/1/2016
2017,Maio,Distrito Federal,6 Fires,1/1/2017
1998,Junho,Distrito Federal,2 Fires,1/1/1998
1999,Junho,Distrito Federal,,1/1/1999
2000,Junho,Distrito Federal,1 Fires,1/1/2000
2001,Junho,Distrito Federal,3 Fires,1/1/2001
2002,Junho,Distrito Federal,7 Fires,1/1/2002
2003,Junho,Distrito Federal,,1/1/2003
2004,Junho,Distrito Federal,6 Fires,1/1/2004
2005,Junho,Distrito Federal,3 Fires,1/1/2005
2006,Junho,Distrito Federal,2 Fires,1/1/2006
2007,Junho,Distrito Federal,21 Fires,1/1/2007
2008,Junho,Distrito Federal,0 Fires,1/1/2008
2009,Junho,Distrito Federal,4 Fires,1/1/2009
2010,Junho,Distrito Federal,21 Fires,1/1/2010
2011,Junho,Distrito Federal,18 Fires,1/1/2011
2012,Junho,Distrito Federal,6 Fires,1/1/2012
2013,Junho,Distrito Federal,4 Fires,1/1/2013
2014,Junho,Distrito Federal,6 Fires,1/1/2014
2015,Junho,Distrito Federal,1 Fires,1/1/2015
2016,Junho,Distrito Federal,42 Fires,1/1/2016
2017,Junho,Distrito Federal,23 Fires,1/1/2017
1998,Julho,Distrito Federal,17 Fires,1/1/1998
1999,Julho,Distrito Federal,4 Fires,1/1/1999
2000,Julho,Distrito Federal,15 Fires,1/1/2000
2001,Julho,Distrito Federal,22 Fires,1/1/2001
2002,Julho,Distrito Federal,33 Fires,1/1/2002
2003,Julho,Distrito Federal,19 Fires,1/1/2003
2004,Julho,Distrito Federal,37 Fires,1/1/2004
2005,Julho,Distrito Federal,24 Fires,1/1/2005
2006,Julho,Distrito Federal,,1/1/2006
2007,Julho,Distrito Federal,25 Fires,1/1/2007
2008,Julho,Distrito Federal,12 Fires,1/1/2008
2009,Julho,Distrito Federal,33 Fires,1/1/2009
2010,Julho,Distrito Federal,85 Fires,1/1/2010
2011,Julho,Distrito Federal,53 Fires,1/1/2011
2012,Julho,Distrito Federal,29 Fires,1/1/2012
2013,Julho,Distrito Federal,22 Fires,1/1/2013
2014,Julho,Distrito Federal,27 Fires,1/1/2014
2015,Julho,Distrito Federal,15 Fires,1/1/2015
2016,Julho,Distrito Federal,79 Fires,1/1/2016
2017,Julho,Distrito Federal,44 Fires,1/1/2017
1998,Agosto,Distrito Federal,48 Fires,1/1/1998
1999,Agosto,Distrito Federal,16 Fires,1/1/1999
2000,Agosto,Distrito Federal,9 Fires,1/1/2000
2001,Agosto,Distrito Federal,25 Fires,1/1/2001
2002,Agosto,Distrito Federal,53 Fires,1/1/2002
2003,Agosto,Distrito Federal,,1/1/2003
2004,Agosto,Distrito Federal,108 Fires,1/1/2004
2005,Agosto,Distrito Federal,20 Fires,1/1/2005
2006,Agosto,Distrito Federal,40 Fires,1/1/2006
2007,Agosto,Distrito Federal,137 Fires,1/1/2007
2008,Agosto,Distrito Federal,30 Fires,1/1/2008
2009,Agosto,Distrito Federal,37 Fires,1/1/2009
2010,Agosto,Distrito Federal,159 Fires,1/1/2010
2011,Agosto,Distrito Federal,61 Fires,1/1/2011
2012,Agosto,Distrito Federal,55 Fires,1/1/2012
2013,Agosto,Distrito Federal,34 Fires,1/1/2013
2014,Agosto,Distrito Federal,99 Fires,1/1/2014
2015,Agosto,Distrito Federal,53 Fires,1/1/2015
2016,Agosto,Distrito Federal,29 Fires,1/1/2016
2017,Agosto,Distrito Federal,147 Fires,1/1/2017
1998,Setembro,Distrito Federal,33 Fires,1/1/1998
1999,Setembro,Distrito Federal,12 Fires,1/1/1999
2000,Setembro,Distrito Federal,3 Fires,1/1/2000
2001,Setembro,Distrito Federal,12 Fires,1/1/2001
2002,Setembro,Distrito Federal,33 Fires,1/1/2002
2003,Setembro,Distrito Federal,17 Fires,1/1/2003
2004,Setembro,Distrito Federal,100 Fires,1/1/2004
2005,Setembro,Distrito Federal,23 Fires,1/1/2005
2006,Setembro,Distrito Federal,20 Fires,1/1/2006
2007,Setembro,Distrito Federal,73 Fires,1/1/2007
2008,Setembro,Distrito Federal,54 Fires,1/1/2008
2009,Setembro,Distrito Federal,5 Fires,1/1/2009
2010,Setembro,Distrito Federal,196 Fires,1/1/2010
2011,Setembro,Distrito Federal,133 Fires,1/1/2011
2012,Setembro,Distrito Federal,64 Fires,1/1/2012
2013,Setembro,Distrito Federal,31 Fires,1/1/2013
2014,Setembro,Distrito Federal,72 Fires,1/1/2014
2015,Setembro,Distrito Federal,76 Fires,1/1/2015
2016,Setembro,Distrito Federal,58 Fires,1/1/2016
2017,Setembro,Distrito Federal,122 Fires,1/1/2017
1998,Outubro,Distrito Federal,3 Fires,1/1/1998
1999,Outubro,Distrito Federal,8 Fires,1/1/1999
2000,Outubro,Distrito Federal,18 Fires,1/1/2000
2001,Outubro,Distrito Federal,0 Fires,1/1/2001
2002,Outubro,Distrito Federal,19 Fires,1/1/2002
2003,Outubro,Distrito Federal,12 Fires,1/1/2003
2004,Outubro,Distrito Federal,18 Fires,1/1/2004
2005,Outubro,Distrito Federal,18 Fires,1/1/2005
2006,Outubro,Distrito Federal,1 Fires,1/1/2006
2007,Outubro,Distrito Federal,13 Fires,1/1/2007
2008,Outubro,Distrito Federal,6 Fires,1/1/2008
2009,Outubro,Distrito Federal,3 Fires,1/1/2009
2010,Outubro,Distrito Federal,6 Fires,1/1/2010
2011,Outubro,Distrito Federal,0 Fires,1/1/2011
2012,Outubro,Distrito Federal,15 Fires,1/1/2012
2013,Outubro,Distrito Federal,3 Fires,1/1/2013
2014,Outubro,Distrito Federal,34 Fires,1/1/2014
2015,Outubro,Distrito Federal,21 Fires,1/1/2015
2016,Outubro,Distrito Federal,9 Fires,1/1/2016
2017,Outubro,Distrito Federal,66 Fires,1/1/2017
1998,Novembro,Distrito Federal,0 Fires,1/1/1998
1999,Novembro,Distrito Federal,1 Fires,1/1/1999
2000,Novembro,Distrito Federal,0 Fires,1/1/2000
2001,Novembro,Distrito Federal,0 Fires,1/1/2001
2002,Novembro,Distrito Federal,1 Fires,1/1/2002
2003,Novembro,Distrito Federal,0 Fires,1/1/2003
2004,Novembro,Distrito Federal,0 Fires,1/1/2004
2005,Novembro,Distrito Federal,2 Fires,1/1/2005
2006,Novembro,Distrito Federal,0 Fires,1/1/2006
2007,Novembro,Distrito Federal,0 Fires,1/1/2007
2008,Novembro,Distrito Federal,4 Fires,1/1/2008
2009,Novembro,Distrito Federal,,1/1/2009
2010,Novembro,Distrito Federal,0 Fires,1/1/2010
2011,Novembro,Distrito Federal,1 Fires,1/1/2011
2012,Novembro,Distrito Federal,0 Fires,1/1/2012
2013,Novembro,Distrito Federal,0 Fires,1/1/2013
2014,Novembro,Distrito Federal,0 Fires,1/1/2014
2015,Novembro,Distrito Federal,3 Fires,1/1/2015
2016,Novembro,Distrito Federal,1 Fires,1/1/2016
2017,Novembro,Distrito Federal,0 Fires,1/1/2017
1998,Dezembro,Distrito Federal,0 Fires,1/1/1998
1999,Dezembro,Distrito Federal,0 Fires,1/1/1999
2000,Dezembro,Distrito Federal,0 Fires,1/1/2000
2001,Dezembro,Distrito Federal,1 Fires,1/1/2001
2002,Dezembro,Distrito Federal,1 Fires,1/1/2002
2003,Dezembro,Distrito Federal,0 Fires,1/1/2003
2004,Dezembro,Distrito Federal,0 Fires,1/1/2004
2005,Dezembro,Distrito Federal,0 Fires,1/1/2005
2006,Dezembro,Distrito Federal,0 Fires,1/1/2006
2007,Dezembro,Distrito Federal,0 Fires,1/1/2007
2008,Dezembro,Distrito Federal,0 Fires,1/1/2008
2009,Dezembro,Distrito Federal,0 Fires,1/1/2009
2010,Dezembro,Distrito Federal,1 Fires,1/1/2010
2011,Dezembro,Distrito Federal,0 Fires,1/1/2011
2012,Dezembro,Distrito Federal,0 Fires,1/1/2012
2013,Dezembro,Distrito Federal,2 Fires,1/1/2013
2014,Dezembro,Distrito Federal,0 Fires,1/1/2014
2015,Dezembro,Distrito Federal,0 Fires,1/1/2015
2016,Dezembro,Distrito Federal,0 Fires,1/1/2016
1998,Janeiro,Espirito Santo,0 Fires,1/1/1998
1999,Janeiro,Espirito Santo,36 Fires,1/1/1999
2000,Janeiro,Espirito Santo,24 Fires,1/1/2000
2001,Janeiro,Espirito Santo,18 Fires,1/1/2001
2002,Janeiro,Espirito Santo,29 Fires,1/1/2002
2003,Janeiro,Espirito Santo,,1/1/2003
2004,Janeiro,Espirito Santo,22 Fires,1/1/2004
2005,Janeiro,Espirito Santo,28 Fires,1/1/2005
2006,Janeiro,Espirito Santo,109 Fires,1/1/2006
2007,Janeiro,Espirito Santo,91 Fires,1/1/2007
2008,Janeiro,Espirito Santo,85 Fires,1/1/2008
2009,Janeiro,Espirito Santo,74 Fires,1/1/2009
2010,Janeiro,Espirito Santo,118 Fires,1/1/2010
2011,Janeiro,Espirito Santo,61 Fires,1/1/2011
2012,Janeiro,Espirito Santo,75 Fires,1/1/2012
2013,Janeiro,Espirito Santo,75 Fires,1/1/2013
2014,Janeiro,Espirito Santo,133 Fires,1/1/2014
2015,Janeiro,Espirito Santo,147 Fires,1/1/2015
2016,Janeiro,Espirito Santo,61 Fires,1/1/2016
2017,Janeiro,Espirito Santo,,1/1/2017
1998,Fevereiro,Espirito Santo,0 Fires,1/1/1998
1999,Fevereiro,Espirito Santo,112 Fires,1/1/1999
2000,Fevereiro,Espirito Santo,20 Fires,1/1/2000
2001,Fevereiro,Espirito Santo,39 Fires,1/1/2001
2002,Fevereiro,Espirito Santo,62 Fires,1/1/2002
2003,Fevereiro,Espirito Santo,126 Fires,1/1/2003
2004,Fevereiro,Espirito Santo,29 Fires,1/1/2004
2005,Fevereiro,Espirito Santo,79 Fires,1/1/2005
2006,Fevereiro,Espirito Santo,96 Fires,1/1/2006
2007,Fevereiro,Espirito Santo,71 Fires,1/1/2007
2008,Fevereiro,Espirito Santo,59 Fires,1/1/2008
2009,Fevereiro,Espirito Santo,74 Fires,1/1/2009
2010,Fevereiro,Espirito Santo,155 Fires,1/1/2010
2011,Fevereiro,Espirito Santo,111 Fires,1/1/2011
2012,Fevereiro,Espirito Santo,123 Fires,1/1/2012
2013,Fevereiro,Espirito Santo,143 Fires,1/1/2013
2014,Fevereiro,Espirito Santo,157 Fires,1/1/2014
2015,Fevereiro,Espirito Santo,84 Fires,1/1/2015
2016,Fevereiro,Espirito Santo,207 Fires,1/1/2016
2017,Fevereiro,Espirito Santo,61 Fires,1/1/2017
1998,Março,Espirito Santo,0 Fires,1/1/1998
1999,Março,Espirito Santo,13 Fires,1/1/1999
2000,Março,Espirito Santo,24 Fires,1/1/2000
2001,Março,Espirito Santo,13 Fires,1/1/2001
2002,Março,Espirito Santo,62 Fires,1/1/2002
2003,Março,Espirito Santo,81 Fires,1/1/2003
2004,Março,Espirito Santo,81 Fires,1/1/2004
2005,Março,Espirito Santo,107 Fires,1/1/2005
2006,Março,Espirito Santo,69 Fires,1/1/2006
2007,Março,Espirito Santo,155 Fires,1/1/2007
2008,Março,Espirito Santo,61 Fires,1/1/2008
2009,Março,Espirito Santo,106 Fires,1/1/2009
2010,Março,Espirito Santo,109 Fires,1/1/2010
2011,Março,Espirito Santo,67 Fires,1/1/2011
2012,Março,Espirito Santo,152 Fires,1/1/2012
2013,Março,Espirito Santo,110 Fires,1/1/2013
2014,Março,Espirito Santo,77 Fires,1/1/2014
2015,Março,Espirito Santo,80 Fires,1/1/2015
2016,Março,Espirito Santo,123 Fires,1/1/2016
2017,Março,Espirito Santo,105 Fires,1/1/2017
1998,Abril,Espirito Santo,0 Fires,1/1/1998
1999,Abril,Espirito Santo,27 Fires,1/1/1999
2000,Abril,Espirito Santo,49 Fires,1/1/2000
2001,Abril,Espirito Santo,60 Fires,1/1/2001
2002,Abril,Espirito Santo,99 Fires,1/1/2002
2003,Abril,Espirito Santo,215 Fires,1/1/2003
2004,Abril,Espirito Santo,48 Fires,1/1/2004
2005,Abril,Espirito Santo,89 Fires,1/1/2005
2006,Abril,Espirito Santo,50 Fires,1/1/2006
2007,Abril,Espirito Santo,35 Fires,1/1/2007
2008,Abril,Espirito Santo,113 Fires,1/1/2008
2009,Abril,Espirito Santo,26 Fires,1/1/2009
2010,Abril,Espirito Santo,112 Fires,1/1/2010
2011,Abril,Espirito Santo,66 Fires,1/1/2011
2012,Abril,Espirito Santo,180 Fires,1/1/2012
2013,Abril,Espirito Santo,61 Fires,1/1/2013
2014,Abril,Espirito Santo,161 Fires,1/1/2014
2015,Abril,Espirito Santo,109 Fires,1/1/2015
2016,Abril,Espirito Santo,172 Fires,1/1/2016
2017,Abril,Espirito Santo,69 Fires,1/1/2017
1998,Maio,Espirito Santo,0 Fires,1/1/1998
1999,Maio,Espirito Santo,51 Fires,1/1/1999
2000,Maio,Espirito Santo,67 Fires,1/1/2000
2001,Maio,Espirito Santo,83 Fires,1/1/2001
2002,Maio,Espirito Santo,98 Fires,1/1/2002
2003,Maio,Espirito Santo,75 Fires,1/1/2003
2004,Maio,Espirito Santo,79 Fires,1/1/2004
2005,Maio,Espirito Santo,134 Fires,1/1/2005
2006,Maio,Espirito Santo,62 Fires,1/1/2006
2007,Maio,Espirito Santo,124 Fires,1/1/2007
2008,Maio,Espirito Santo,50 Fires,1/1/2008
2009,Maio,Espirito Santo,128 Fires,1/1/2009
2010,Maio,Espirito Santo,179 Fires,1/1/2010
2011,Maio,Espirito Santo,151 Fires,1/1/2011
2012,Maio,Espirito Santo,144 Fires,1/1/2012
2013,Maio,Espirito Santo,150 Fires,1/1/2013
2014,Maio,Espirito Santo,224 Fires,1/1/2014
2015,Maio,Espirito Santo,114 Fires,1/1/2015
2016,Maio,Espirito Santo,186 Fires,1/1/2016
2017,Maio,Espirito Santo,,1/1/2017
1998,Junho,Espirito Santo,70 Fires,1/1/1998
1999,Junho,Espirito Santo,132 Fires,1/1/1999
2000,Junho,Espirito Santo,135 Fires,1/1/2000
2001,Junho,Espirito Santo,166 Fires,1/1/2001
2002,Junho,Espirito Santo,207 Fires,1/1/2002
2003,Junho,Espirito Santo,245 Fires,1/1/2003
2004,Junho,Espirito Santo,209 Fires,1/1/2004
2005,Junho,Espirito Santo,246 Fires,1/1/2005
2006,Junho,Espirito Santo,73 Fires,1/1/2006
2007,Junho,Espirito Santo,184 Fires,1/1/2007
2008,Junho,Espirito Santo,48 Fires,1/1/2008
2009,Junho,Espirito Santo,173 Fires,1/1/2009
2010,Junho,Espirito Santo,139 Fires,1/1/2010
2011,Junho,Espirito Santo,304 Fires,1/1/2011
2012,Junho,Espirito Santo,219 Fires,1/1/2012
2013,Junho,Espirito Santo,144 Fires,1/1/2013
2014,Junho,Espirito Santo,376 Fires,1/1/2014
2015,Junho,Espirito Santo,200 Fires,1/1/2015
2016,Junho,Espirito Santo,263 Fires,1/1/2016
2017,Junho,Espirito Santo,360 Fires,1/1/2017
1998,Julho,Espirito Santo,232 Fires,1/1/1998
1999,Julho,Espirito Santo,318 Fires,1/1/1999
2000,Julho,Espirito Santo,345 Fires,1/1/2000
2001,Julho,Espirito Santo,266 Fires,1/1/2001
2002,Julho,Espirito Santo,741 Fires,1/1/2002
2003,Julho,Espirito Santo,407 Fires,1/1/2003
2004,Julho,Espirito Santo,625 Fires,1/1/2004
2005,Julho,Espirito Santo,467 Fires,1/1/2005
2006,Julho,Espirito Santo,336 Fires,1/1/2006
2007,Julho,Espirito Santo,446 Fires,1/1/2007
2008,Julho,Espirito Santo,,1/1/2008
2009,Julho,Espirito Santo,477 Fires,1/1/2009
2010,Julho,Espirito Santo,707 Fires,1/1/2010
2011,Julho,Espirito Santo,801 Fires,1/1/2011
2012,Julho,Espirito Santo,669 Fires,1/1/2012
2013,Julho,Espirito Santo,462 Fires,1/1/2013
2014,Julho,Espirito Santo,559 Fires,1/1/2014
2015,Julho,Espirito Santo,288 Fires,1/1/2015
2016,Julho,Espirito Santo,1.004 Fires,1/1/2016
2017,Julho,Espirito Santo,610 Fires,1/1/2017
1998,Agosto,Espirito Santo,875 Fires,1/1/1998
1999,Agosto,Espirito Santo,,1/1/1999
2000,Agosto,Espirito Santo,769 Fires,1/1/2000
2001,Agosto,Espirito Santo,858 Fires,1/1/2001
2002,Agosto,Espirito Santo,2.041 Fires,1/1/2002
2003,Agosto,Espirito Santo,1.955 Fires,1/1/2003
2004,Agosto,Espirito Santo,1.642 Fires,1/1/2004
2005,Agosto,Espirito Santo,1.029 Fires,1/1/2005
2006,Agosto,Espirito Santo,959 Fires,1/1/2006
2007,Agosto,Espirito Santo,2.975 Fires,1/1/2007
2008,Agosto,Espirito Santo,605 Fires,1/1/2008
2009,Agosto,Espirito Santo,685 Fires,1/1/2009
2010,Agosto,Espirito Santo,3.353 Fires,1/1/2010
2011,Agosto,Espirito Santo,2.742 Fires,1/1/2011
2012,Agosto,Espirito Santo,901 Fires,1/1/2012
2013,Agosto,Espirito Santo,911 Fires,1/1/2013
2014,Agosto,Espirito Santo,1.952 Fires,1/1/2014
2015,Agosto,Espirito Santo,1.059 Fires,1/1/2015
2016,Agosto,Espirito Santo,1.433 Fires,1/1/2016
2017,Agosto,Espirito Santo,2.142 Fires,1/1/2017
1998,Setembro,Espirito Santo,1.981 Fires,1/1/1998
1999,Setembro,Espirito Santo,,1/1/1999
2000,Setembro,Espirito Santo,1.08 Fires,1/1/2000
2001,Setembro,Espirito Santo,1.597 Fires,1/1/2001
2002,Setembro,Espirito Santo,3.1 Fires,1/1/2002
2003,Setembro,Espirito Santo,7.091 Fires,1/1/2003
2004,Setembro,Espirito Santo,4.339 Fires,1/1/2004
2005,Setembro,Espirito Santo,,1/1/2005
2006,Setembro,Espirito Santo,2.78 Fires,1/1/2006
2007,Setembro,Espirito Santo,5.088 Fires,1/1/2007
2008,Setembro,Espirito Santo,2.552 Fires,1/1/2008
2009,Setembro,Espirito Santo,1.31 Fires,1/1/2009
2010,Setembro,Espirito Santo,,1/1/2010
2011,Setembro,Espirito Santo,5.978 Fires,1/1/2011
2012,Setembro,Espirito Santo,3.219 Fires,1/1/2012
2013,Setembro,Espirito Santo,1.656 Fires,1/1/2013
2014,Setembro,Espirito Santo,3.454 Fires,1/1/2014
2015,Setembro,Espirito Santo,3.088 Fires,1/1/2015
2016,Setembro,Espirito Santo,2.093 Fires,1/1/2016
2017,Setembro,Espirito Santo,4.697 Fires,1/1/2017
1998,Outubro,Espirito Santo,1.093 Fires,1/1/1998
1999,Outubro,Espirito Santo,1.363 Fires,1/1/1999
2000,Outubro,Espirito Santo,1.954 Fires,1/1/2000
2001,Outubro,Espirito Santo,528 Fires,1/1/2001
2002,Outubro,Espirito Santo,4.788 Fires,1/1/2002
2003,Outubro,Espirito Santo,5.391 Fires,1/1/2003
2004,Outubro,Espirito Santo,2.736 Fires,1/1/2004
2005,Outubro,Espirito Santo,6.546 Fires,1/1/2005
2006,Outubro,Espirito Santo,616 Fires,1/1/2006
2007,Outubro,Espirito Santo,3.467 Fires,1/1/2007
2008,Outubro,Espirito Santo,3.787 Fires,1/1/2008
2009,Outubro,Espirito Santo,1.013 Fires,1/1/2009
2010,Outubro,Espirito Santo,2.048 Fires,1/1/2010
2011,Outubro,Espirito Santo,1.206 Fires,1/1/2011
2012,Outubro,Espirito Santo,3.97 Fires,1/1/2012
2013,Outubro,Espirito Santo,1.221 Fires,1/1/2013
2014,Outubro,Espirito Santo,4.735 Fires,1/1/2014
2015,Outubro,Espirito Santo,3.708 Fires,1/1/2015
2016,Outubro,Espirito Santo,948 Fires,1/1/2016
2017,Outubro,Espirito Santo,3.062 Fires,1/1/2017
1998,Novembro,Espirito Santo,32 Fires,1/1/1998
1999,Novembro,Espirito Santo,271 Fires,1/1/1999
2000,Novembro,Espirito Santo,43 Fires,1/1/2000
2001,Novembro,Espirito Santo,62 Fires,1/1/2001
2002,Novembro,Espirito Santo,417 Fires,1/1/2002
2003,Novembro,Espirito Santo,399 Fires,1/1/2003
2004,Novembro,Espirito Santo,914 Fires,1/1/2004
2005,Novembro,Espirito Santo,422 Fires,1/1/2005
2006,Novembro,Espirito Santo,59 Fires,1/1/2006
2007,Novembro,Espirito Santo,1.305 Fires,1/1/2007
2008,Novembro,Espirito Santo,892 Fires,1/1/2008
2009,Novembro,Espirito Santo,246 Fires,1/1/2009
2010,Novembro,Espirito Santo,82 Fires,1/1/2010
2011,Novembro,Espirito Santo,153 Fires,1/1/2011
2012,Novembro,Espirito Santo,220 Fires,1/1/2012
2013,Novembro,Espirito Santo,277 Fires,1/1/2013
2014,Novembro,Espirito Santo,398 Fires,1/1/2014
2015,Novembro,Espirito Santo,1.453 Fires,1/1/2015
2016,Novembro,Espirito Santo,126 Fires,1/1/2016
2017,Novembro,Espirito Santo,136 Fires,1/1/2017
1998,Dezembro,Espirito Santo,21 Fires,1/1/1998
1999,Dezembro,Espirito Santo,32 Fires,1/1/1999
2000,Dezembro,Espirito Santo,14 Fires,1/1/2000
2001,Dezembro,Espirito Santo,44 Fires,1/1/2001
2002,Dezembro,Espirito Santo,225 Fires,1/1/2002
2003,Dezembro,Espirito Santo,225 Fires,1/1/2003
2004,Dezembro,Espirito Santo,125 Fires,1/1/2004
2005,Dezembro,Espirito Santo,65 Fires,1/1/2005
2006,Dezembro,Espirito Santo,32 Fires,1/1/2006
2007,Dezembro,Espirito Santo,95 Fires,1/1/2007
2008,Dezembro,Espirito Santo,25 Fires,1/1/2008
2009,Dezembro,Espirito Santo,108 Fires,1/1/2009
2010,Dezembro,Espirito Santo,105 Fires,1/1/2010
2011,Dezembro,Espirito Santo,43 Fires,1/1/2011
2012,Dezembro,Espirito Santo,189 Fires,1/1/2012
2013,Dezembro,Espirito Santo,98 Fires,1/1/2013
2014,Dezembro,Espirito Santo,155 Fires,1/1/2014
2015,Dezembro,Espirito Santo,295 Fires,1/1/2015
2016,Dezembro,Espirito Santo,91 Fires,1/1/2016
1998,Janeiro,Goias,0 Fires,1/1/1998
1999,Janeiro,Goias,11 Fires,1/1/1999
2000,Janeiro,Goias,14 Fires,1/1/2000
2001,Janeiro,Goias,11 Fires,1/1/2001
2002,Janeiro,Goias,22 Fires,1/1/2002
2003,Janeiro,Goias,45 Fires,1/1/2003
2004,Janeiro,Goias,37 Fires,1/1/2004
2005,Janeiro,Goias,46 Fires,1/1/2005
2006,Janeiro,Goias,41 Fires,1/1/2006
2007,Janeiro,Goias,9 Fires,1/1/2007
2008,Janeiro,Goias,25 Fires,1/1/2008
2009,Janeiro,Goias,21 Fires,1/1/2009
2010,Janeiro,Goias,2 Fires,1/1/2010
2011,Janeiro,Goias,9 Fires,1/1/2011
2012,Janeiro,Goias,14 Fires,1/1/2012
2013,Janeiro,Goias,18 Fires,1/1/2013
2014,Janeiro,Goias,58 Fires,1/1/2014
2015,Janeiro,Goias,28 Fires,1/1/2015
2016,Janeiro,Goias,53 Fires,1/1/2016
2017,Janeiro,Goias,46 Fires,1/1/2017
1998,Fevereiro,Goias,0 Fires,1/1/1998
1999,Fevereiro,Goias,2 Fires,1/1/1999
2000,Fevereiro,Goias,8 Fires,1/1/2000
2001,Fevereiro,Goias,0 Fires,1/1/2001
2002,Fevereiro,Goias,5 Fires,1/1/2002
2003,Fevereiro,Goias,43 Fires,1/1/2003
2004,Fevereiro,Goias,29 Fires,1/1/2004
2005,Fevereiro,Goias,46 Fires,1/1/2005
2006,Fevereiro,Goias,18 Fires,1/1/2006
2007,Fevereiro,Goias,14 Fires,1/1/2007
2008,Fevereiro,Goias,29 Fires,1/1/2008
2009,Fevereiro,Goias,7 Fires,1/1/2009
2010,Fevereiro,Goias,15 Fires,1/1/2010
2011,Fevereiro,Goias,1 Fires,1/1/2011
2012,Fevereiro,Goias,13 Fires,1/1/2012
2013,Fevereiro,Goias,12 Fires,1/1/2013
2014,Fevereiro,Goias,27 Fires,1/1/2014
2015,Fevereiro,Goias,23 Fires,1/1/2015
2016,Fevereiro,Goias,10 Fires,1/1/2016
2017,Fevereiro,Goias,31 Fires,1/1/2017
1998,Março,Goias,0 Fires,1/1/1998
1999,Março,Goias,7 Fires,1/1/1999
2000,Março,Goias,46 Fires,1/1/2000
2001,Março,Goias,1 Fires,1/1/2001
2002,Março,Goias,12 Fires,1/1/2002
2003,Março,Goias,58 Fires,1/1/2003
2004,Março,Goias,73 Fires,1/1/2004
